title,price,review_count,review_avg
"
Lenovo Ideapad 530S-14IKB Intel Core i5-8250U/8GB/256GB SSD/MX130/14"" Reacondicionado
",699.0,4,4.2
"
Asus ZenBook UX430UA-GV595 Intel Core i7-8550U/8GB/256GB SSD/14""
",699.0,1,5.0
"
Lenovo Ideapad 330-15IKBR Intel Core i5-8250U/8GB/256GB SSD/15.6""
",519.0,47,4.4
"
Asus Rog Zephyrus M GU502GU-ES003 Intel Core i7-9750H/16GB/512GB SSD/GTX1660Ti/15.6""
",1499.0,8,4.6
"
Asus TUF Gaming FX505GM-BQ252 Intel Core i7-8750H/16GB/256GB SSD/GTX 1060/15.6""
",999.0,2,5.0
"
Medion Erazer P6705 Intel Core i5-8300H/8GB/256GB SSD/GTX1050Ti/15.6""
",699.0,3,4.7
"
Medion Erazer P6705 Intel Core i5-8300H/8GB/1.5TB/GTX1050Ti/15.6""
",699.0,1,5.0
"
Lenovo Ideapad 330-15IKB Intel Core i5-8250U/8GB/256GB SSD/Radeon 530/15.6""
",579.0,1,5.0
"
MSI GS65 Stealth Thin 8RE-252ES Intel Core i7-8750H/16GB/512GB SSD/GTX 1060/15.6""
",1499.0,45,4.7
"
Asus A540NA-GQ058 Intel Celeron N3350/4GB/500GB/15.6""
",199.0,4,2.8
"
MSI GL63 8SD-269ES Intel Core i7-8750H/16GB/1TB+256GB SSD/GTX 1660Ti/15.6""
",1249.0,3,5.0
"
Asus Rog Strix G731GT-AU006T Intel Core i7-9750H/16GB/1TB+256GB SSD/GTX1650/17.3""
",1199.0,2,4.5
"
Lenovo Ideapad 330 Intel Core i7-8550U/8GB/256GB SSD/15.6""
",599.0,76,4.3
"
Acer Aspire 3 A315-53-58EJ Intel Core i5-8250U/8GB/1TB/15.6""
",435.0,10,4.5
"
HP NoteBook 15-DA0156NS Intel Core i3-7100U/4GB/128GB SSD/15.6""
",329.0,26,4.0
"
Schneider Dual Book SCT101CTM Intel Atom x5-8350/2GB/32GB/10.1""
",149.0,17,4.1
"
MSI GS63 8RD-052ES Stealth Intel Core i7-8750H/16GB/256GB SSD+1TB/GTX1050Ti/15.6""
",1199.0,9,4.6
"
Asus Rog Strix G531GT-BQ012 Intel Core i7-9750H/16GB/512GB SSD/GTX1650/15.6""
",1249.0,23,4.4
"
Asus R570ZD-DM266 AMD Ryzen 5 2500U/8GB/256GB SSD/GTX 1050/15.6""
",499.0,32,4.2
"
MSI GS65 Stealth 8SF-035ES Intel Core i7-8750H/32GB/1TB SSD/RTX 2070/15.6""
",2099.0,9,4.8
"
HP Pavilion 14-CE0002NS Intel Core i5-8250U/8GB/256GB SSD/MX130/14""
",679.0,8,4.6
"
HP Pavilion x360 14-CD0013NS Intel Core i7-8550U/8GB/256GB SSD/MX130/14"" Táctil
",799.0,1,5.0
"
LG Gram 15Z990-V.AA52B Intel Core i5-8265U/8GB/256GB SSD/15.6""
",889.0,7,3.9
"
Acer Predator Helios 300 PH315-51-7581 Intel Core i7-8750H/8GB/1TB+128GB SSD/GF GTX1060/15.6""
",898.0,14,4.6
"
Acer Predator Helios 300 PH315-51-77RK Intel Core i7-8750H/16GB/1TB+128GB SSD/GTX1050Ti/15.6""
",949.0,1,5.0
"
Asus VivoBook S512FA-BR066T Intel Core i5-8265U/8GB/256GB SSD/15.6""
",599.0,2,4.5
"
Lenovo Ideapad 330-15IKBR Intel Core i5-8250U/8GB/1TB/Radeon 530/15.6""
",520.0,178,4.1
"
HP Pavilion Gaming 15-CX0001NS Intel Core i5-8300H/8GB/256GB SSD/GTX 1050/15.6""
",699.0,12,4.1
"
Lenovo Ideapad 330-15ARR AMD Ryzen 3 2200U/4GB/128GB SSD/15.6""
",355.0,22,4.5
